time,lat,lon,100m_u_component_of_wind,100m_v_component_of_wind,2m_dewpoint_temperature,mean_sea_level_pressure,mean_wave_direction,mean_wave_period,surface_pressure,sea_surface_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,significant_height_of_combined_wind_waves_and_swell,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,2m_temperature,total_precipitation,10m_u_component_of_wind,10m_v_component_of_wind
2019-05-01 00:00:00,53.00,5.50,0.84,-3.08,279.60,102101.95,,,102069.30,11.84,11.46,12.19,12.03,11.55,0.12,0.12,,0.09,0.08,0.09,0.10,8.71,0.00,0.73,-2.87
2019-05-01 01:00:00,53.00,5.50,1.28,-2.76,279.49,102036.35,,,102004.05,11.84,11.41,12.17,12.03,11.55,0.12,0.12,,0.09,0.08,0.09,0.10,8.71,0.00,1.13,-2.56
2019-05-01 02:00:00,53.00,5.50,1.83,-2.44,279.33,101965.34,,,101932.16,11.84,11.36,12.15,12.03,11.55,0.12,0.12,,0.09,0.08,0.09,0.10,8.69,0.00,1.64,-2.30
2019-05-01 03:00:00,53.00,5.50,2.32,-2.51,279.24,101944.13,,,101911.91,11.84,11.32,12.13,12.02,11.55,0.12,0.12,,0.09,0.08,0.09,0.10,8.63,0.00,2.06,-2.32
2019-05-01 04:00:00,53.00,5.50,2.46,-3.00,279.15,101919.48,,,101886.73,11.84,11.34,12.11,12.03,11.55,0.12,0.12,,0.09,0.08,0.09,0.10,8.63,0.00,2.15,-2.70
2019-05-01 05:00:00,53.00,5.50,2.25,-3.12,279.08,101910.48,,,101878.27,11.84,11.28,12.09,12.02,11.55,30452.00,81409.75,,0.09,0.08,0.09,0.10,8.60,0.00,1.94,-2.81
2019-05-01 06:00:00,53.00,5.50,1.90,-2.72,279.07,101904.60,,,101872.27,11.84,11.34,12.07,12.02,11.55,229629.62,468871.38,,0.09,0.08,0.09,0.10,8.68,0.00,1.65,-2.47
2019-05-01 07:00:00,53.00,5.50,1.79,-2.05,278.92,101890.67,,,101857.59,11.84,11.42,12.07,12.02,11.55,416110.62,994170.56,,0.09,0.08,0.09,0.10,8.73,0.00,1.60,-1.88
2019-05-01 08:00:00,53.00,5.50,2.14,-1.55,278.86,101895.60,,,101863.48,11.84,11.47,12.06,12.02,11.55,646930.56,1547708.00,,0.09,0.08,0.09,0.10,8.76,0.00,1.95,-1.44
2019-05-01 09:00:00,53.00,5.50,2.37,-1.22,278.88,101884.48,,,101851.59,11.84,11.58,12.06,12.02,11.55,956905.69,2051816.25,,0.09,0.08,0.09,0.10,8.87,0.00,2.22,-1.16
2019-05-01 10:00:00,53.00,5.50,3.23,-0.91,278.82,101885.19,,,101852.23,11.84,11.80,11.58,11.52,11.05,1484607.38,2452692.25,,0.09,0.08,0.09,0.10,9.03,0.00,2.98,-0.96
2019-05-01 11:00:00,53.00,5.50,3.76,-0.97,278.79,101855.37,,,101821.91,11.84,11.96,11.60,11.52,11.05,1582063.50,2719473.00,,0.09,0.08,0.09,0.10,9.12,0.00,3.47,-1.00
